epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,454789,3.77983,2.26556,0.82667,0.03394,0.0132,0.01943,0.00502,4.17037,2.4684,0.82138,0.004984,0.004984,0.004984
78,463747,3.72176,2.23113,0.81334,0.03369,0.01302,0.01878,0.0047,4.16907,2.49659,0.81984,0.004918,0.004918,0.004918
79,474636,3.76552,2.25807,0.82125,0.03345,0.01291,0.01844,0.00494,4.16185,2.49667,0.81877,0.004852,0.004852,0.004852
80,475827,3.74053,2.24291,0.81896,0.03238,0.01256,0.01887,0.00515,4.16561,2.50936,0.81926,0.004786,0.004786,0.004786
81,485439,3.73501,2.23341,0.81656,0.03213,0.01233,0.01792,0.00456,4.17553,2.48516,0.81977,0.00472,0.00472,0.00472
82,486876,3.76077,2.26376,0.81908,0.03431,0.01334,0.01927,0.00503,4.16182,2.47239,0.81913,0.004654,0.004654,0.004654
83,492816,3.73406,2.24275,0.81403,0.03404,0.01313,0.01892,0.00521,4.15374,2.46702,0.81861,0.004588,0.004588,0.004588
84,497194,3.76582,2.24936,0.82111,0.03611,0.01383,0.02033,0.00517,4.14905,2.44588,0.81767,0.004522,0.004522,0.004522
85,505104,3.74153,2.24822,0.81651,0.03478,0.01336,0.01929,0.00488,4.15399,2.4756,0.81802,0.004456,0.004456,0.004456
86,510482,3.71071,2.23047,0.81095,0.03375,0.013,0.01914,0.005,4.15574,2.52455,0.81767,0.00439,0.00439,0.00439
87,516768,3.73112,2.22942,0.81534,0.03295,0.01271,0.01848,0.0047,4.15503,2.51752,0.81855,0.004324,0.004324,0.004324
88,518577,3.74816,2.22909,0.81896,0.03475,0.01329,0.01933,0.00498,4.15661,2.50296,0.8188,0.004258,0.004258,0.004258
89,525108,3.74203,2.24606,0.81785,0.03399,0.01309,0.01911,0.00499,4.16426,2.51568,0.81775,0.004192,0.004192,0.004192
90,527525,3.71396,2.21273,0.81546,0.0341,0.01303,0.01905,0.00502,4.15352,2.5012,0.81892,0.004126,0.004126,0.004126
91,531595,3.73307,2.24173,0.81318,0.03454,0.01329,0.01945,0.00499,4.15234,2.48738,0.81718,0.00406,0.00406,0.00406
92,536232,3.72068,2.23151,0.81363,0.03363,0.01301,0.01916,0.00495,4.14744,2.51528,0.81691,0.003994,0.003994,0.003994
93,544783,3.71222,2.22961,0.81136,0.03363,0.01301,0.01902,0.00479,4.15445,2.51074,0.81638,0.003928,0.003928,0.003928
94,546057,3.72634,2.22378,0.81516,0.03547,0.01354,0.02048,0.00508,4.14575,2.47709,0.81661,0.003862,0.003862,0.003862
95,555679,3.71243,2.20684,0.81486,0.03459,0.01325,0.02002,0.00547,4.14822,2.51137,0.81666,0.003796,0.003796,0.003796
96,564534,3.73706,2.2334,0.81677,0.03356,0.0129,0.01947,0.00513,4.15684,2.52944,0.81715,0.00373,0.00373,0.00373
