epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,31584.5,3.83382,2.36608,0.8343,0.02886,0.01174,0.01708,0.00484,4.25085,2.45514,0.83452,0.0007724,0.0007724,0.0007724
95,31764,3.81722,2.39361,0.83816,0.02845,0.01162,0.01935,0.00504,4.25181,2.53392,0.83101,0.0007592,0.0007592,0.0007592
96,32380.6,3.82814,2.36268,0.84343,0.02481,0.01012,0.01577,0.00421,4.26786,2.50723,0.83647,0.000746,0.000746,0.000746
97,32546.3,3.85212,2.369,0.84455,0.02266,0.0094,0.0128,0.00338,4.28779,2.73313,0.83756,0.0007328,0.0007328,0.0007328
98,32777,3.807,2.37794,0.83914,0.02114,0.0086,0.01198,0.0031,4.26537,2.63756,0.83628,0.0007196,0.0007196,0.0007196
99,32965.1,3.79239,2.33401,0.82748,0.02457,0.00994,0.01728,0.00481,4.26114,2.62566,0.83164,0.0007064,0.0007064,0.0007064
100,33155.5,3.83715,2.35763,0.83832,0.0303,0.01224,0.02033,0.00686,4.23068,2.40348,0.83098,0.0006932,0.0006932,0.0006932
101,33370.7,3.83933,2.3682,0.84502,0.02474,0.00997,0.01487,0.00431,4.25881,2.65987,0.83432,0.00068,0.00068,0.00068
102,33663.5,3.79147,2.33142,0.83392,0.02673,0.01091,0.01679,0.00498,4.24419,2.46651,0.83824,0.0006668,0.0006668,0.0006668
103,33851.3,3.78642,2.35421,0.83284,0.02911,0.01176,0.01969,0.00576,4.25627,2.43069,0.83698,0.0006536,0.0006536,0.0006536
104,34247,3.7924,2.34844,0.83141,0.01924,0.00784,0.01293,0.00387,4.29158,2.9302,0.83811,0.0006404,0.0006404,0.0006404
105,35103.1,3.82755,2.36902,0.83784,0.03044,0.01232,0.0204,0.00588,4.22678,2.40489,0.82984,0.0006272,0.0006272,0.0006272
106,35359.3,3.80967,2.42158,0.83713,0.02412,0.00993,0.01518,0.00422,4.25218,2.60045,0.83969,0.000614,0.000614,0.000614
107,35762.2,3.80095,2.33441,0.83246,0.02345,0.00948,0.01422,0.00446,4.2407,2.58567,0.82941,0.0006008,0.0006008,0.0006008
108,35969,3.79736,2.31249,0.83766,0.02627,0.01054,0.0182,0.00529,4.24841,2.57012,0.83362,0.0005876,0.0005876,0.0005876
109,36139.9,3.82824,2.34297,0.83799,0.02343,0.00959,0.01671,0.00568,4.26192,2.57539,0.82916,0.0005744,0.0005744,0.0005744
110,36708,3.79701,2.32374,0.83971,0.02573,0.01058,0.01436,0.00394,4.22903,2.5744,0.82909,0.0005612,0.0005612,0.0005612
111,37363.3,3.82303,2.34615,0.84427,0.02362,0.0095,0.0168,0.00498,4.25492,2.59657,0.84187,0.000548,0.000548,0.000548
112,39111.1,3.7868,2.33619,0.83198,0.02092,0.00849,0.01211,0.00326,4.26244,2.69306,0.84147,0.0005348,0.0005348,0.0005348
113,39304.1,3.7802,2.33661,0.83279,0.02404,0.00973,0.01344,0.00354,4.24078,2.7007,0.83251,0.0005216,0.0005216,0.0005216
114,39509,3.86465,2.34738,0.84858,0.02275,0.00932,0.01637,0.00545,4.2499,2.66748,0.83037,0.0005084,0.0005084,0.0005084
115,39817.5,3.81321,2.3163,0.84128,0.02166,0.00872,0.01296,0.00342,4.25205,2.74719,0.8308,0.0004952,0.0004952,0.0004952
116,40068.2,3.83109,2.34209,0.8441,0.02331,0.00958,0.01665,0.00495,4.25252,2.59696,0.83727,0.000482,0.000482,0.000482
117,41153.8,3.76179,2.34753,0.82935,0.02523,0.01039,0.01434,0.00386,4.23283,2.6356,0.83355,0.0004688,0.0004688,0.0004688
118,41342.3,3.79567,2.32386,0.83228,0.02258,0.00922,0.01295,0.00319,4.253,2.63283,0.83736,0.0004556,0.0004556,0.0004556
119,41526.7,3.77903,2.32632,0.83734,0.02149,0.00859,0.01323,0.00383,4.26478,2.64569,0.83345,0.0004424,0.0004424,0.0004424
120,41729,3.78454,2.31678,0.84002,0.02259,0.00922,0.01462,0.00417,4.2543,2.64401,0.8336,0.0004292,0.0004292,0.0004292
121,41972,3.72938,2.26777,0.8259,0.02895,0.01163,0.0196,0.00582,4.23581,2.44035,0.83436,0.000416,0.000416,0.000416
