image,number_of_waves,mean_height_m,max_height_m
img_2025_08_09_11_30_00.png,89,0.17633414264661604,0.2646938154290027
img_2025_08_09_11_40_00.png,68,0.18692327425464783,0.25444774661075625
img_2025_08_09_11_50_00.png,158,0.1736512199645968,0.2520089841202841
img_2025_08_09_12_00_00.png,162,0.17681286714691424,0.2661234200585206
img_2025_08_09_12_10_00.png,25,0.1243248271270752,0.2001998661997562
img_2025_08_09_12_20_00.png,233,0.17821696777452062,0.28170958277402264
img_2025_08_09_12_30_00.png,202,0.16636424942138017,0.28170958277402264
img_2025_08_09_12_40_00.png,372,0.16160348933600033,0.28170958277402264
img_2025_08_09_12_50_00.png,535,0.15238326812042846,0.28170958277402264
img_2025_08_09_13_00_00.png,896,0.1650679789881329,0.28170958277402264
img_2025_08_09_13_10_00.png,881,0.16099727957118212,0.28170958277402264
img_2025_08_09_13_20_00.png,865,0.13964774562010843,0.28170958277402264
img_2025_08_09_13_30_00.png,1123,0.1532278396635247,0.28170958277402264
img_2025_08_09_13_40_00.png,1018,0.16379317309481695,0.28170958277402264
img_2025_08_09_13_50_00.png,868,0.14805884187675802,0.28170958277402264
img_2025_08_09_14_00_00.png,2284,0.14353208971085685,0.28170958277402264
img_2025_08_09_14_10_00.png,4,0.12687258478379182,0.19052851020994666
img_2025_08_09_14_20_00.png,1581,0.15127920768674902,0.28170958277402264
img_2025_08_09_14_30_00.png,1285,0.15792237828428346,0.28170958277402264
img_2025_08_09_14_40_00.png,2681,0.15767076875897262,0.31754751701657774
img_2025_08_09_14_50_00.png,3237,0.15038481369408188,0.28170958277402264
img_2025_08_09_15_00_00.png,693,0.11400844250740295,0.24270416122352043
img_2025_08_09_15_10_00.png,3583,0.13662017009054375,0.28957011868031335
img_2025_08_09_15_20_00.png,3919,0.14323932470590472,0.28170958277402264
img_2025_08_09_15_30_00.png,4224,0.14041283534073232,0.28170958277402264
img_2025_08_09_15_40_00.png,4127,0.1432033615605626,0.28170958277402264
img_2025_08_09_15_50_00.png,953,0.1251528893567271,0.23199676132521194
img_2025_08_09_16_00_00.png,2955,0.11365623384072732,0.28170958277402264
img_2025_08_09_16_10_00.png,5045,0.13362833229091445,0.28170958277402264
img_2025_08_09_16_20_00.png,6175,0.13275562574870142,0.28170958277402264
img_2025_08_09_16_30_00.png,6358,0.13692640915488458,0.28170958277402264
img_2025_08_09_16_40_00.png,6829,0.1322132736144355,0.28170958277402264
img_2025_08_09_16_50_00.png,5315,0.1429758331891658,0.28170958277402264
img_2025_08_09_17_00_00.png,3582,0.13214281391892263,0.28170958277402264
img_2025_08_09_17_10_00.png,3522,0.14196489658208764,0.28170958277402264
img_2025_08_09_17_20_00.png,8374,0.12949559986736423,0.28170958277402264
img_2025_08_09_17_30_00.png,8455,0.12563649833431276,0.28170958277402264
