image,number_of_waves,mean_height_m,max_height_m
img_2025_08_09_16_20_00.png,1988,0.1363141462766444,0.28170958277402264
img_2025_08_09_16_30_00.png,1568,0.142995063124296,0.28170958277402264
img_2025_08_09_16_40_00.png,1875,0.13235929239255761,0.28170958277402264
img_2025_08_09_16_50_00.png,1327,0.14181781343409214,0.28170958277402264
img_2025_08_09_17_00_00.png,119,0.1677855922918494,0.28579226617548514
img_2025_08_09_17_10_00.png,108,0.16648349558904293,0.27774190278200206
img_2025_08_09_17_20_00.png,3198,0.13863966416331502,0.28579226617548514
img_2025_08_09_17_30_00.png,4324,0.12430049318560414,0.28170958277402264
img_2025_08_09_17_40_00.png,2849,0.14043080549084233,0.29388556390027293
img_2025_08_09_17_50_00.png,3027,0.13404484805774497,0.28170958277402264
img_2025_08_09_18_00_00.png,3134,0.13624947876968102,0.28170958277402264
img_2025_08_09_18_20_00.png,4834,0.13166920864149453,0.28683149438491523
img_2025_08_09_18_40_00.png,5761,0.13408924436408765,0.28579226617548514
img_2025_08_09_19_00_00.png,5284,0.12001008815829727,0.28579226617548514
img_2025_08_09_19_20_00.png,7949,0.1428609980427825,0.30106435280647686
img_2025_08_09_19_40_00.png,6633,0.12359561016457307,0.28683149438491523
img_2025_08_09_20_00_00.png,5216,0.1327524751329926,0.3076397722850408
img_2025_08_09_20_20_00.png,9511,0.1376411281766178,0.28683149438491523
img_2025_08_09_20_40_00.png,1771,0.13623156028626074,0.28579226617548514
img_2025_08_09_21_00_00.png,3592,0.15511025608605752,0.28683149438491523
img_2025_08_09_21_20_00.png,1125,0.16268201963047146,0.28683149438491523
