epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,19112.5,3.87852,2.36855,0.82321,0.02472,0.01002,0.0138,0.00372,4.31299,2.49438,0.82711,0.0008384,0.0008384,0.0008384
90,19245.9,3.88382,2.36325,0.82124,0.02243,0.00915,0.01287,0.00356,4.30093,2.61257,0.83036,0.0008252,0.0008252,0.0008252
91,19377.9,3.81491,2.38884,0.80772,0.02132,0.00872,0.01215,0.00326,4.32973,2.67626,0.83089,0.000812,0.000812,0.000812
92,19525.5,3.93099,2.42747,0.83048,0.01876,0.00784,0.01118,0.00285,4.33438,2.685,0.82754,0.0007988,0.0007988,0.0007988
93,19687.2,3.85661,2.36684,0.82131,0.01887,0.00766,0.01095,0.00283,4.3494,2.64395,0.83138,0.0007856,0.0007856,0.0007856
94,20483.4,3.90811,2.37547,0.82161,0.02709,0.01094,0.01613,0.00437,4.30458,2.42545,0.82778,0.0007724,0.0007724,0.0007724
95,20624.1,3.89023,2.39844,0.82434,0.02676,0.01089,0.01597,0.0046,4.2975,2.4484,0.82419,0.0007592,0.0007592,0.0007592
96,20761.9,3.89654,2.37177,0.83143,0.02492,0.01024,0.01551,0.0044,4.31083,2.47086,0.82717,0.000746,0.000746,0.000746
97,20886.6,3.92746,2.4081,0.83303,0.01956,0.00799,0.01176,0.0029,4.31947,2.63103,0.83082,0.0007328,0.0007328,0.0007328
98,21048.4,3.89324,2.40149,0.8264,0.01743,0.00733,0.00985,0.00262,4.35041,2.70646,0.8314,0.0007196,0.0007196,0.0007196
99,21186.1,3.86338,2.34505,0.81533,0.02247,0.0091,0.01265,0.00349,4.33377,2.56607,0.827,0.0007064,0.0007064,0.0007064
100,21322.3,3.89883,2.36531,0.82471,0.02592,0.01052,0.01553,0.00399,4.31775,2.36481,0.83089,0.0006932,0.0006932,0.0006932
