new_image_name,date,time,season,daytime
img_00131.png,08/09/2022,12:00:00,autumn,afternoon
img_00132.png,09/09/2022,12:00:00,autumn,afternoon
img_00133.png,10/09/2022,12:00:00,autumn,afternoon
img_00134.png,11/09/2022,12:00:00,autumn,afternoon
img_00135.png,12/09/2022,12:00:00,autumn,afternoon
img_00136.png,13/09/2022,12:00:00,autumn,afternoon
img_00137.png,14/09/2022,12:00:00,autumn,afternoon
img_00138.png,15/09/2022,12:00:00,autumn,afternoon
img_00139.png,16/09/2022,12:00:00,autumn,afternoon
img_00140.png,17/09/2022,12:00:00,autumn,afternoon
img_00141.png,18/09/2022,12:00:00,autumn,afternoon
img_00142.png,19/09/2022,12:00:00,autumn,afternoon
img_00143.png,20/09/2022,12:00:00,autumn,afternoon
img_00144.png,21/09/2022,12:00:00,autumn,afternoon
img_00145.png,22/09/2022,12:00:00,autumn,afternoon
img_00146.png,23/09/2022,12:00:00,autumn,afternoon
img_00147.png,24/09/2022,12:00:00,autumn,afternoon
img_00148.png,25/09/2022,12:00:00,autumn,afternoon
img_00149.png,26/09/2022,12:00:00,autumn,afternoon
img_00150.png,27/09/2022,12:00:00,autumn,afternoon
img_00151.png,28/09/2022,12:00:00,autumn,afternoon
img_00152.png,29/09/2022,12:00:00,autumn,afternoon
img_00153.png,30/09/2022,12:00:00,autumn,afternoon
img_00154.png,01/10/2022,12:00:00,autumn,afternoon
img_00155.png,02/10/2022,12:00:00,autumn,afternoon
img_00156.png,03/10/2022,12:00:00,autumn,afternoon
img_00157.png,04/10/2022,12:00:00,autumn,afternoon
img_00158.png,05/10/2022,12:00:00,autumn,afternoon
img_00159.png,06/10/2022,12:00:00,autumn,afternoon
img_00160.png,07/10/2022,12:00:00,autumn,afternoon
img_00161.png,08/10/2022,12:00:00,autumn,afternoon
img_00162.png,09/10/2022,12:00:00,autumn,afternoon
img_00163.png,10/10/2022,12:00:00,autumn,afternoon
img_00164.png,11/10/2022,12:00:00,autumn,afternoon
img_00165.png,12/10/2022,12:00:00,autumn,afternoon
img_00166.png,13/10/2022,12:00:00,autumn,afternoon
img_00167.png,14/10/2022,12:00:00,autumn,afternoon
img_00168.png,15/10/2022,12:00:00,autumn,afternoon
img_00169.png,16/10/2022,12:00:00,autumn,afternoon
img_00170.png,17/10/2022,12:00:00,autumn,afternoon
img_00171.png,18/10/2022,12:00:00,autumn,afternoon
img_00172.png,19/10/2022,12:00:00,autumn,afternoon
img_00173.png,20/10/2022,12:00:00,autumn,afternoon
img_00174.png,21/10/2022,12:00:00,autumn,afternoon
img_00175.png,22/10/2022,12:00:00,autumn,afternoon
img_00176.png,23/10/2022,12:00:00,autumn,afternoon
img_00177.png,24/10/2022,12:00:00,autumn,afternoon
img_00178.png,25/10/2022,12:00:00,autumn,afternoon
img_00179.png,07/11/2022,12:00:00,autumn,afternoon
img_00180.png,08/11/2022,12:00:00,autumn,afternoon
img_00181.png,09/11/2022,12:00:00,autumn,afternoon
img_00182.png,10/11/2022,12:00:00,autumn,afternoon
img_00183.png,11/11/2022,12:00:00,autumn,afternoon
img_00184.png,12/11/2022,12:00:00,autumn,afternoon
img_00185.png,13/11/2022,12:00:00,autumn,afternoon
img_00186.png,14/11/2022,12:00:00,autumn,afternoon
img_00187.png,15/11/2022,12:00:00,autumn,afternoon
img_00188.png,16/11/2022,12:00:00,autumn,afternoon
img_00189.png,17/11/2022,12:00:00,autumn,afternoon
img_00190.png,18/11/2022,12:00:00,autumn,afternoon
img_00191.png,19/11/2022,12:00:00,autumn,afternoon
img_00192.png,20/11/2022,12:00:00,autumn,afternoon
img_00193.png,21/11/2022,12:00:00,autumn,afternoon
img_00194.png,22/11/2022,12:00:00,autumn,afternoon
img_00195.png,23/11/2022,12:00:00,autumn,afternoon
img_00196.png,24/11/2022,12:00:00,autumn,afternoon
img_00197.png,25/11/2022,12:00:00,autumn,afternoon
img_00198.png,26/11/2022,12:00:00,autumn,afternoon
img_00199.png,27/11/2022,12:00:00,autumn,afternoon
img_00200.png,28/11/2022,12:00:00,autumn,afternoon
img_00201.png,29/11/2022,12:00:00,autumn,afternoon
img_00202.png,30/11/2022,12:00:00,autumn,afternoon
img_00203.png,01/12/2022,12:00:00,winter,afternoon
img_00204.png,02/12/2022,12:00:00,winter,afternoon
img_00205.png,03/12/2022,12:00:00,winter,afternoon
img_00206.png,04/12/2022,12:00:00,winter,afternoon
img_00207.png,05/12/2022,12:00:00,winter,afternoon
img_00208.png,06/12/2022,12:00:00,winter,afternoon
img_00209.png,07/12/2022,12:00:00,winter,afternoon
img_00210.png,08/12/2022,12:00:00,winter,afternoon
img_00211.png,09/12/2022,12:00:00,winter,afternoon
img_00212.png,10/12/2022,12:00:00,winter,afternoon
img_00213.png,11/12/2022,12:00:00,winter,afternoon
img_00214.png,12/12/2022,12:00:00,winter,afternoon
img_00215.png,13/12/2022,12:00:00,winter,afternoon
img_00216.png,14/12/2022,12:00:00,winter,afternoon
img_00217.png,15/12/2022,12:00:00,winter,afternoon
img_00218.png,16/12/2022,12:00:00,winter,afternoon
img_00219.png,17/12/2022,12:00:00,winter,afternoon
img_00220.png,18/12/2022,12:00:00,winter,afternoon
img_00221.png,19/12/2022,12:00:00,winter,afternoon
img_00222.png,20/12/2022,12:00:00,winter,afternoon
img_00223.png,21/12/2022,12:00:00,winter,afternoon
img_00224.png,27/12/2022,12:00:00,winter,afternoon
img_00225.png,28/12/2022,12:00:00,winter,afternoon
img_00226.png,29/12/2022,12:00:00,winter,afternoon
img_00227.png,30/12/2022,12:00:00,winter,afternoon
img_00228.png,31/12/2022,12:00:00,winter,afternoon
img_00229.png,01/01/2023,12:00:00,winter,afternoon
img_00230.png,02/01/2023,12:00:00,winter,afternoon
img_00231.png,03/01/2023,12:00:00,winter,afternoon
img_00232.png,04/01/2023,12:00:00,winter,afternoon
img_00233.png,05/01/2023,12:00:00,winter,afternoon
img_00234.png,06/01/2023,12:00:00,winter,afternoon
img_00235.png,07/01/2023,12:00:00,winter,afternoon
img_00236.png,08/01/2023,12:00:00,winter,afternoon
img_00237.png,09/01/2023,12:00:00,winter,afternoon
img_00238.png,10/01/2023,12:00:00,winter,afternoon
img_00239.png,11/01/2023,12:00:00,winter,afternoon
img_00240.png,12/01/2023,12:00:00,winter,afternoon
img_00241.png,13/01/2023,12:00:00,winter,afternoon
img_00242.png,14/01/2023,12:00:00,winter,afternoon
img_00243.png,15/01/2023,12:00:00,winter,afternoon
img_00244.png,16/01/2023,12:00:00,winter,afternoon
img_00245.png,17/01/2023,12:00:00,winter,afternoon
img_00246.png,18/01/2023,12:00:00,winter,afternoon
