,Hm0,Hmax,H13,Hmax_obs,n_waves,ratio_mike,ratio_yolo
2025-08-24 08:20:00,0.0006872821832075715,,0.17689508957732497,0.2149290814629578,341,,1.2150087488381485
2025-08-24 08:30:00,0.0007538244244642556,,0.18666893724708009,0.2817095827740226,462,,1.5091401222322496
2025-08-24 08:40:00,0.0008342401124536991,,0.20856882105283325,0.2817095827740226,429,,1.3506792690872131
2025-08-24 09:50:00,0.01784132421016693,0.03689247742295265,0.22660165286451994,0.2673855773556504,98,2.0678104936812574,1.1799807017096837
2025-08-24 10:00:00,0.018981823697686195,0.03981728106737137,0.24101276816608974,0.3477896748896899,321,2.097653086527451,1.4430342323192469
2025-08-24 10:10:00,0.0232390109449625,0.04894262179732323,0.21802167175100898,0.2817095827740226,82,2.106054423453528,1.2921173409574997
2025-08-24 10:20:00,0.031543098390102386,0.0660284236073494,0.20308710693670368,0.2586189618129707,294,2.093276405214138,1.2734386033357337
2025-08-24 10:30:00,0.04177089408040047,0.08701065182685852,0.21963616417111842,0.3578886715709347,517,2.0830449944255616,1.629461491105371
2025-08-24 11:10:00,0.0782487541437149,0.1624673455953598,0.20649382085877518,0.2079403405300331,8,2.0762930652795513,1.007005147491785
2025-08-24 11:20:00,0.07117994129657745,0.14879274368286133,0.24417391061444454,0.2817095827740226,30,2.090374633253817,1.1537251546044476
2025-08-24 11:30:00,0.05897924676537514,0.12436700612306595,0.23509838811627617,0.2817095827740226,70,2.1086570775956046,1.1982625020580455
2025-08-24 11:40:00,0.04827424883842468,0.10253192484378815,0.2228462906626283,0.2868314943849152,602,2.123946561798724,1.287127075492387
2025-08-24 11:50:00,0.039630990475416183,0.08469440042972565,0.22083919636149613,0.2857922661754851,621,2.1370750368266247,1.2941192998532107
2025-08-24 12:00:00,0.03277797996997833,0.07044246792793274,0.24309333961474638,0.2817095827740226,123,2.1490789851129226,1.1588535630818808
2025-08-24 12:10:00,0.027296708896756172,0.05899074673652649,0.21880769864430352,0.2857922661754851,696,2.1610937406280764,1.3061344182412544
2025-08-24 12:20:00,0.02299947664141655,0.0500359870493412,0.19338052101613226,0.2857922661754851,255,2.1755272013119797,1.4778751483022616
2025-08-24 12:30:00,0.01969652622938156,0.043342214077711105,0.27292983176631225,0.2817095827740226,28,2.200500411745548,1.0321685282656377
2025-08-24 12:40:00,0.01833956688642502,0.04090677201747894,0.2126378556828089,0.2857922661754851,395,2.230520070119988,1.3440328640343342
2025-08-24 12:50:00,0.01593596674501896,0.035732805728912354,0.20441051308444477,0.2787233078882182,720,2.242274114940734,1.3635468336849865
2025-08-24 13:00:00,0.014030962251126766,0.03207708150148392,0.22201506313362823,0.2787233078882182,42,2.2861640511439583,1.255425212839986
2025-08-24 13:10:00,0.01367503497749567,,0.22050582152784984,0.2817095827740226,993,,1.2775607501974398
2025-08-24 13:30:00,0.02583637833595276,0.05615365505218506,0.277741902782002,0.277741902782002,6,2.1734336880352974,1.0
2025-08-24 13:40:00,0.05250002443790436,0.11233215779066086,0.25674129848503513,0.2787233078882182,7,2.139659152416669,1.0856192966729283
2025-08-24 13:50:00,0.05555073171854019,0.11748632043600082,0.27774419843151554,0.2787233078882182,9,2.1149374058882016,1.0035252201926517
2025-08-24 14:00:00,0.06824168562889099,0.1424524039030075,0.27721476586209826,0.2787233078882182,25,2.0874690094509982,1.005441780929052
2025-08-24 14:10:00,0.08205563575029373,0.17186464369297028,0.2847009187984708,0.349020769876995,46,2.0944892099304107,1.225920770997068
2025-08-24 14:20:00,0.07832439243793488,0.16431832313537598,0.2612779489321936,0.2868314943849152,105,2.0979201755772783,1.0978021511465295
2025-08-24 14:30:00,0.06794919073581696,0.14356178045272827,0.2739549256202562,0.3565943386369612,268,2.1127813134800864,1.3016533206314969
2025-08-24 14:40:00,0.06953931599855423,0.14754360914230347,0.25385772820227714,0.3578886715709347,1735,2.1217293702654625,1.4098001825879585
2025-08-24 14:50:00,0.07400420308113098,0.15704701840877533,0.23417670770655408,0.3578886715709347,1606,2.122136471581274,1.5282846662077236
2025-08-24 15:00:00,0.08481646329164505,0.17922565340995789,0.24201356650126787,0.3303130608096437,708,2.1130998211241465,1.364853489764646
2025-08-24 15:10:00,0.10101979970932007,0.21259444952011108,0.23965274067134307,0.3565943386369612,2200,2.104482983849127,1.4879626981858325
2025-08-24 15:20:00,0.11223089694976807,0.23454546928405762,0.23986595775046501,0.3578886715709347,1563,2.0898475879510676,1.4920361143670495
2025-08-24 15:30:00,0.12499040365219116,0.26009252667427063,0.2504422957091354,0.3578886715709347,1556,2.080899965712776,1.4290264771673706
2025-08-24 15:40:00,0.13632167875766754,0.2819874882698059,0.24097312382515654,0.2857922661754851,166,2.068544715995476,1.1859922867699058
2025-08-24 15:50:00,0.1554786115884781,0.32155120372772217,0.2327548999268643,0.2787233078882182,36,2.0681378643823125,1.197497057960103
2025-08-24 16:00:00,0.16072511672973633,0.3335680067539215,0.2008743044939688,0.2086738049338139,23,2.0753943972230875,1.0388277657488008
2025-08-24 16:10:00,0.1713692545890808,0.3561992645263672,0.1880053049982973,0.2787233078882182,284,2.0785482517297664,1.4825289525247307
2025-08-24 16:20:00,0.18719761073589325,0.38840964436531067,0.16477910474935972,0.2079403405300331,25,2.0748643256633033,1.2619339135646146
2025-08-24 16:30:00,0.20603397488594055,0.4252919554710388,0.1992904320522279,0.2147332029425608,27,2.06418361683542,1.0774887721969804
2025-08-24 16:40:00,0.22471585869789124,0.46122583746910095,0.23506552306587808,0.2857922661754851,654,2.052484591615648,1.2157983120961156
2025-08-24 16:50:00,0.22829218208789825,0.46762576699256897,0.21744560986355865,0.3565943386369612,467,2.0483652252818767,1.6399242958306433
2025-08-24 17:00:00,0.20085081458091736,0.41259971261024475,0.22139956446138082,0.2868314943849152,1873,2.0542595929777496,1.2955377535756074
2025-08-24 17:10:00,0.16156654059886932,0.33343997597694397,0.2214169126687619,0.2868314943849152,2508,2.063793497966852,1.2954362470675986
2025-08-24 17:20:00,0.12282000482082367,0.255025178194046,0.23320104617195928,0.2938855639002729,1886,2.07641400573213,1.2602240372608178
2025-08-24 17:30:00,0.10875185579061508,0.2262382209300995,0.2147995936494756,0.3001478828618862,4361,2.080315956774901,1.3973391558258144
2025-08-24 17:40:00,0.17800846695899963,0.36626696586608887,0.21704695780202496,0.2938855639002729,2507,2.057581710146689,1.3540183510350543
2025-08-24 17:50:00,0.23192673921585083,0.47591668367385864,0.2193325390636505,0.3453533569209676,1042,2.0520129989450244,1.5745650800164481
2025-08-24 18:00:00,0.2528839111328125,0.5189273953437805,0.21998614826140495,0.3578886715709347,964,2.0520380004374585,1.6268691206214632
